geo_point,nom,sports,,,,
48.857232, 2.296084,Stade Tour Eiffel,Volleyball de plage,Cécifoot,,
48.787261, 2.034736,Stade BMX de Saint-Quentin-en-Yvelines,BMX race,,,
48.899483, 2.361803,Arena La Chapelle,Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting
48.835157, 2.257363,Stade Pierre de Coubertin,Goalball,,,
48.923457, 2.355527,Centre aquatique,Natation artistique,Plongeon,Water-polo,
48.89566, 2.22971,La Défense Arena,Natation,Para natation,Water-polo,
48.862229, 2.636374,Stade nautique,Canoë,Para canoë,Aviron,Para aviron
48.788162, 1.967776,Colline d'Elancourt,VTT,,,
48.866041, 2.312406,Grand Palais,Escrime,Escrime fauteuil,Taekwondo,Para taekwondo
48.862286, 2.313222,Invalides,Tir à l'arc,Para tir à l'arc,Athlétisme,Cyclisme sur route
48.937188, 2.420467,Site d'escalade du Bourget,Escalade sportive,,,
48.841319, 2.253076,Parc des Princes,Football,,,
48.924388, 2.359871,Stade de France,Athlétisme,Para athlétisme,Rugby,
48.92467, 2.332428,Village olympique,,,,
48.815115, 2.08208,Château de Versailles,Sports équestres,Para équitation,Pentathlon moderne,
48.944207, 2.424716,Village des médias,,,,
48.944643, 2.408258,Terrain des Essences - La Courneuve,Para athlétisme,,,
48.751095, 2.0759,Golf national,Golf,,,
48.788046, 2.034987,Vélodrome National de Saint-Quentin-en-Yvelines,Cyclisme sur piste,Para cyclisme sur piste,,
48.84732, 2.245501,Stade Roland Garros,Tennis,Tennis fauteuil,Boxe,
48.911184, 2.546395,Clichy-sous-Bois,Para cyclisme sur route,,,
48.830231, 2.289126,Arena Paris Sud 4 (Porte de Versailles),Tennis de table,Para tennis de table,,
48.856858, 2.351415,Hôtel de ville de Paris,Athlétisme,,,
48.856262, 2.2914,Pont d'Iéna,Cyclisme sur route,Athlétisme,,
48.838649, 2.378496,Arena Bercy,Basketball,Basket fauteuil,Gymnastique artistique,trampoline
48.971314, 2.519183,Arena Paris nord,Boxe,Escrime,Pentathlon moderne,Volley-ball assis
48.829624, 2.290777,Arena Paris Sud 6 (Porte de Versailles),Haltérophilie,Handball,Goalball,
48.865589, 2.321205,Stade de la Concorde,Basketball 3x3,BMX freestyle,Breaking,Skateboard
48.930873, 2.249836,Stade Yves du Manoir,Hockey,,,
48.854536, 2.300413,Arena Champs de Mars,Judo,Para judo,Lutte,Rugby fauteuil
48.832068, 2.284126,Arena Paris Sud 1 (Porte de Versailles),Volleyball,Boccia,,
